date,ticker,name,open,high,low,close,prev_close,change_pct,volume,value_iqd,trades
2026-09-07,VWIF,AL-Wiaam for Financial Investment,,,,0.68,,,0,,0
2026-09-07,VAMF,Al-Ameen for Financial Investment,,,,1.26,,,0,,0
2026-09-07,SAEI,Al-Ameen Estate Investment,,,,1.66,,,0,,0
2026-09-07,SIBD,Ibdaa Al-sharq Alwast General Contracting,,,,1.0,,,0,,0
2026-09-07,IHFI,National Furniture Industries,,,,1.15,,,0,,0
2026-09-07,IBPM,Baghdad for Packing Materials,,,,3.0,,,0,,0
2026-09-07,IMCI,Modern chemical industries,,,,100.0,,,0,,0
2026-09-07,HASH,Ashour Hotel,,,,25.99,,,0,,0
2026-09-07,BUND,United Bank,,,,0.05,,,0,,0
2026-09-07,BUOI,Union Bank of Iraq,,,,0.16,,,0,,0
2026-09-07,BWOR,World Islamic Bank for Investment,,,,1.0,,,0,,0
2026-09-07,BAME,Ameen Al-Iraq Islamic Bank,,,,1.0,,,0,,0
2026-09-07,SBAG,AL-Badia for General Trans,,,,1.2,,,0,,0
2026-09-07,SIGT,General Transportation,,,,1.37,,,0,,0
2026-09-07,IMCM,Modern Construction Materials,,,,1.35,,,0,,0
2026-09-07,IELI,Electronic Industry,,,,1.37,,,0,,0
2026-09-08,BASH,Ashur International Bank,0.32,0.32,0.32,0.32,0.32,0.0,997206.0,319105.92,3
2026-09-08,BBOB,Bank of Baghdad,2.97,2.97,2.92,2.92,2.97,-1.68,15544361.0,45689010.45,101
2026-09-08,BCOI,Commercial Islamic Bank of Iraq,0.57,0.57,0.55,0.55,0.57,-3.51,8362143.0,4657334.62,25
2026-09-08,BEFI,Economy Bank,0.24,0.24,0.23,0.23,0.23,0.0,71475644.0,17113608.39,26
2026-09-08,BGUC,Gulf Commercial Bank,0.33,0.33,0.33,0.33,0.33,0.0,14161024.0,4673137.92,9
2026-09-08,BIBI,Investment Bank of Iraq,0.39,0.4,0.38,0.4,0.39,2.56,13058790.0,5102524.41,12
2026-09-08,BIIB,Iraqi Islamic Bank,0.97,0.97,0.96,0.96,0.97,-1.03,15137164.0,14541933.63,39
2026-09-08,BIME,Middle East Bank,0.08,0.08,0.07,0.07,0.08,-12.5,902837.0,69164.79,7
2026-09-08,BKUI,Kurdistan International Bank,1.3,1.3,1.3,1.3,1.35,-3.7,3681.0,4785.3,1
2026-09-08,BMNS,Al -Mansour Bank,2.1,2.1,2.04,2.08,2.1,-0.95,303238225.0,625103485.48,242
2026-09-08,BNOI,National Bank of Iraq,3.82,3.82,3.77,3.82,3.82,0.0,11555545.0,43900564.75,81
2026-09-08,TASC,Asia Cell Telecommunication,15.75,15.8,15.69,15.69,15.75,-0.38,9745132.0,153247958.41,121
